trad,ss01,ss02,ss03,ss04,ss05,ss06,ss07
嗯,,,,,,,
嗲,,,,,,,
嗳,,,,,,,
嗶,,哔,,哔,毕,毕,哔
嗷,,,,,,,
嗽,,,,,,,
嗾,,,,,,,
嘀,,,,,,嘀.er2,
嘁,,,,,,,
嘆,,叹,叹,叹,叹,叹,叹
嘈,,,,,,,
嘉,,,,,,,
嘌,,,,,,,
嘍,,喽,,喽,喽,喽,喽
嘎,,,,,,,
嘏,,,,,,,
嘐,,,,,,,
嘔,呕.kmt,呕,呕,呕,呕,呕,呕
嘖,,啧,,啧,啧,啧,啧
嘗,尝,尝,尝,尝,尝,尝,尝
嘘,,,,,,,
嘛,,,,,,,
嘜,,唛,,唛,唛,唛,唛
嘟,,,,,,都,
嘡,,,,,,坣,
嘤,,,,,,,
嘧,,,,,,,
嘩,,哗,,哗,哗,哗,哗
嘬,,,,,,,
嘮,,唠,,唠,唠,唠,唠
嘯,,啸,,啸,啸,啸,啸
嘰,,叽,,叽,几,几,叽
嘱,,,,,嘱.er1,嘱.er1,
嘲,,,,,,嘲.er2,
嘴,,嘴.gbk,咀,咀,咀,咀,嘴.gbk
嘵,,哓,,哓,哓,哓,哓
嘶,,,,,,嘶.er2,
嘸,,呒,,呒,呒,呒,呒
嘹,,,,,,辽,
嘻,,,,,,嘻.er2,
嘽,,啴,,啴,啴,啴,啴
嘿,,,,,,嘿.er2,
噁,,恶,,恶,恶,恶,恶
噌,,,,,,,
噍,,,,,,噍.er2,
噎,,,,,,,
噓,,嘘,,嘘,嘘,嘘,嘘
噗,,,,,,,
噘,,,,,,,
噙,,,,,,,
噚,,㖊,,㖊,㖊,㖊,㖊
噜,,,,,,鲁,
噠,,哒,,哒,哒,哒,哒
噢,,,,,,,
噤,,,,,,,
噥,,哝,,哝,哝,哝,哝
噦,,哕,,哕,哕,哕,哕
器,,,,,𫩏,𫩏,
噩,,,,,,,
噪,,,,,,,
噫,,,,,,,
噬,,,,,,,
噯,,嗳,,嗳,嗳,嗳,嗳
噱,,,,,,,
噲,,哙,,哙,哙,哙,哙
噴,,喷,,喷,喷,喷,喷
噶,,,,,,,
噸,,吨,,吨,吨,吨,吨
噹,𪠽,当,,当,当,当,当
嚀,,咛,,咛,咛,宁,咛
嚅,,,,,,,
嚆,,,,,,,
嚇,,吓,吓,吓,吓,吓,吓
嚌,,哜,,哜,哜,哜,哜
嚎,,,,,,,
嚏,,,,,,涕.er2,
嚐,,尝,,尝,尝,尝,尝
嚓,,,,,忟.er1,忟.er1,
嚕,,噜,,噜,噜,鲁,噜
嚙,,啮,,啮,啮,啮,啮
嚣,,,,,,,
嚥,,咽,,咽,咽,咽,咽
嚦,,呖,,呖,呖,呖,呖
嚨,,咙,,咙,咙,咙,咙
嚮,,向,,向,向,向,向
嚲,,亸,,亸,亸,亸,亸
嚳,,喾,,喾,喾,喾,喾
嚴,,严,严,严,严,严,严
嚶,,嘤,,嘤,嘤,嘤,嘤
嚷,,,,,𠮵,𠮵,
嚼,,,,,,噍.er2,
囀,,啭,,啭,啭,啭,啭
囁,,嗫,,嗫,嗫,嗫,嗫
囂,,嚣,,嚣,嚣,嚣,嚣
囅,,冁,,冁,冁,冁,冁
囈,,呓,,呓,呓,呓,呓
囉,啰,罗,,啰,啰,罗,啰
囊,,,,,囊.er1,囊.er1,
囌,,苏,,苏,苏,苏,苏
囑,嘱.kmt,嘱,嘱,嘱,嘱.er1,嘱.er1,嘱
囓,,啮,,啮,啮,啮,啮
囔,,,,,囊.er1,囊.er1,
囗,,,,,,,
囚,,,,,,,
四,,,,,,,
囝,,,,,,,
回,,,,,,,
囟,,,,,,,
因,,,,,,,
囡,,,,,,,
团,,,,,,,
囤,,,,,,,
囪,,囱,,囱,囱,囱,囱
囫,,,,,,,
园,,,,,,,
囯,,,,,,,
困,,,,,,,
囱,,,,,,,
围,,,,,,,
囵,,,,,,,
囹,,,,,,,
固,,,,,,,
国,,,,,,,
图,,,,,,,
囿,,,,,,,
圃,,,,,,,
圄,,,,,,,
圆,,,,,元,元,
圇,,囵,,囵,囵,囵,囵
圈,,,,,,,
圉,,,,,,,
圊,,,,,,,
國,囯,国,囯,囯,国,国,国
圍,,围,围,围,围,围,围
園,园,园,园,园,园,园,园
圓,,圆,,圆,元,元,圆
圖,图.kmt,图,图,图,图,图,图
團,,团,团,团,团,团,团
圜,,,,,,,
土,,,,,,,
圣,,,,,,,
在,,,,,,,
圩,,,,,,,
圪,,,,,,咯,
圬,,,,,,,
圭,,,,,,,
圮,,,,,,,
圯,,,,,,,
地,,,,,,,
圳,,,,,,,
圵,,,,,,,
圶,,,,,,,
圹,,,,,,,
场,,,,,,,
圻,,,,,,,
圾,,,,,,,
址,,,,,,,
坂,,,,,,,
均,,,,,,,
坊,,,,,,,
坌,,,,,,,
坍,,,,,,,
坎,,,,,,,
坏,,,,,,,
坐,,,,,,,
坑,,,,,,,
块,,,,,,,
坚,,,,,,,
坛,,,,,,,
坜,,,,,,,
坝,,,,,,,
坞,,,,,,,
坟,,,,,,,
坠,,,,,,,
坡,,,,,,,
坣,,,,,,,
坤,,,,,,,
坦,,,,,,,
坨,,,,,,,
坩,,,,,,,
坪,,,,,,,
坫,,,,,,,
坭,,,,,,,
坯,,,,,,,
坳,,,,,,,
坶,,,,,,,
坷,,,,,,,
坻,,,,,,,
坼,,,,,,,
垂,,,,,,,
垃,,,,,,,
垄,,,,,,,
垆,,,,,,,
型,,,,,,,
垌,,,,,,,
垒,,,,,,厽,
垓,,,,,,,
垛,,,,,,,
垟,,,,,,,
垠,,,,,,,
垡,,,,,,伐,
垢,,,,,,,
垣,,,,,,,
垤,,,,,,,
垥,,,,,,,
垦,,,,,,,
垩,,,,,,,
垫,,,,,,,
垭,,,,,,,
垮,,,,,,,
垯,,,,,,嗒,
垲,,,,,,,
垴,,,,,,㐫,
垵,,埯,,埯,埯,埯,埯
垸,,,,,,,
埂,,,,,,,
埃,,,,,,,
埋,,,,,,,
城,,,,,,,
埏,,,,,,,
埒,,,,,,,
埔,,,,,,,
埕,,,,,,,
埘,,,,,,,
埙,,,,,,,
埚,,,,,,,
域,,,,,,,
埠,,,,,,,
埡,,垭,,垭,垭,垭,垭
埤,,,,,,,
埭,,,,,,,
埯,,,,,,,
埰,,采,,采,采,采,采
埴,,,,,,,
執,执,执,执,执,执,执,执
埸,,,,,,,
培,,,,,,,
基,,,,,,基.er2,
埼,,,,,,,
埽,,,,,,,
堀,,,,,,,
堂,,,,,坣,坣,
堅,坚,坚,坚,坚,坚,坚,坚
堆,,,,,,堆.er2,
堇,,,,,,,
堉,,,,,,,
堊,,垩,,垩,垩,垩,垩
堋,,,,,,,
堍,,,,,,,
堑,,,,,,,
堕,,,,,,,
堖,,垴,,,垴,㐫,垴
堙,,,,,,,
堝,,埚,,埚,埚,埚,埚
堞,,,,,,,
堠,,,,,,,
堡,,,,,,,
堤,,,,,,,
堪,堪.kmt,堪.gbk,,,堪.gbk,堪.gbk,堪.gbk
堯,,尧,,尧,尧,尧,尧
堰,,,,,,𪣈,
報,报.kmt,报,报,报,报,报,报
場,场.kmt,场,㘯,㘯,场,场,场
堵,,,,,,,
塊,,块,块,块,块,块,块
塋,,茔,,茔,茔,茔,茔
塌,,,,,,,
塍,,,,,,,
塏,,垲,,垲,垲,垲,垲
塑,,,,,,,
塒,,埘,,埘,埘,埘,埘
塔,,,,,,,
塗,,涂,,涂,涂,涂,涂
塘,,,,,,,
塚,,冢,,冢,冢,冢,冢
塞,,,,,,,
塢,,坞,,坞,坞,坞,坞
塤,,埙,,埙,埙,埙,埙
塥,,,,,,,
填,,,,,填.er1,填.er1,
塭,,,,,,,
塵,,尘,,尘,尘,尘,尘
塹,,堑,,堑,堑,堑,堑
塽,,,,,,,
塾,,,,,,,
墀,,,,,,,
墁,,,,,,,
境,,,,,㘫,㘫,
墅,,,,,,,
墉,,,,,,,
墊,,垫,垫,垫,垫,垫,垫
墒,,,,,,𬂭,
墓,,,,,,圶,
墙,,,,,垟,垟,
墜,,坠,,坠,坠,坠,坠
增,,,,,,,
墟,,,,,,,
墦,,,,,,,
墨,,,,,,墨.er2,
墩,,,,,,敦,
墮,,堕,,堕,堕,堕,堕
墳,坟,坟,坟,坟,坟,坟,坟
墶,,垯,,,垯,嗒,垯
墼,,,,,,,
墾,,垦,垦,垦,垦,垦,垦
壁,,,,,,,
壅,,,,,,壅.er2,
壇,坛,坛,,坛,坛,坛,坛
壈,,,,,,,
壎,,埙,,埙,埙,埙,埙
壑,,,,,,垥,
壓,压,压,压,压,压,压,压
壕,,,,,,,
壘,,垒,,垒,垒,厽,垒
壙,,圹,,圹,圹,圹,圹
壚,,垆,,垆,垆,垆,垆
壞,,坏,坏,坏,坏,坏,坏
壟,,垄,,垄,垄,垄,垄
壢,,坜,,坜,坜,坜,坜
壤,,,,,圵,圵,
壩,,坝,,坝,坝,坝,坝
士,,,,,,,
壬,,,,,,,
壮,,,,,,,
壯,,壮,壮,壮,壮,壮,壮
声,,,,,,,
壳,,,,,,,
壴,,,,,,,
壶,,,,,,,
壷,,,,,,,
壸,,,,,,,
壹,,,,,,壹.er2,
壺,壷,壶,,壶,壶,壶,壶
壼,,壸,,壸,壸,壸,壸
壽,寿.kmt,寿,寿,寿,寿,寿,寿
处,,,,,,,
夆,,,,,,,
备,,,,,,,
夋,,,,,,,
复,,,,,,,
夏,,,,,,夏.er2,
夔,,,,,,,
夕,,,,,,,
外,,,,,,,
夙,,,,,,,
多,,,,,,,
夜,,,,,,,
够,,,,,,,
夠,,够,,够,够,够,够
夢,,梦,梦,梦,梦,梦,梦
夤,,,,,,,
夥,,伙,伙,伙,伙,伙,伙
大,,,,,,,
天,,,,,,,
太,,,,,,,
夫,,,,,,,
夬,,,,,,,
夭,,,,,,,
央,,,,,,,
夯,,,,,,,
失,,,,,,,
头,,,,,,,
夷,,,,,,,
夸,,,,,,,
夹,,,,,,,
夺,,,,,,,
夼,,,,,,,
夾,,夹,夹,夹,夹,夹,夹
奁,,,,,,,
奂,,,,,,,
奄,,,,,,,
奇,,,,,,,
奈,,,,,,,
奉,,,,,,,
奋,,,,,,,
奎,,,,,,,
奏,,,,,,,
奐,,奂,,奂,奂,奂,奂
契,,,,,,,
奔,,,,,,,
奕,,,,,,,
奖,,,,,,,
套,,,,,套.er1,套.er1,
奘,,,,,,,
奚,,,,,,,
奠,,,,,,,
奢,,,,,,,
奥,,,,,,奥.er2,
奧,,奥,,奥,奥,奥.er2,奥
奩,,奁,,奁,奁,奁,奁
奪,,夺,夺,夺,夺,夺,夺
奭,,,,,,,
奮,,奋,奋,奋,奋,奋,奋
女,,,,,,,
奴,,,,,,,
奶,,,,,,,
奸,,,,,,,
她,,,,,,,
奼,,姹,,姹,姹,姹,姹
好,,,,,,,
妁,,,,,,,
如,,,,,,,
妃,,,,,,,
妄,,,,,,,
妆,,,,,,,
妇,,,,,,,
妈,,,,,,,
妊,,,,,,,
妍,,,,,,,
妒,,,,,,,
妓,,,,,,,
妖,,,,,,,
妗,,,,,,,
妙,,,,,,,
妝,,妆,,妆,妆,妆,妆
妞,,,,,,,
妣,,,,,,,
妤,,,,,,,
妥,,,,,,,
妨,,,,,,,
妩,,,,,,,
妪,,,,,,,
妫,,,,,,,
妮,,,,,,,
妯,,,,,,,
妲,,,,,,,
妳,,,,,,,
妹,,,,,,,
妻,,,,,,,
妾,,,,,,,
姅,,,,,,,
姆,,,,,,,
姊,,,,,,,
始,,,,,,,
姍,,姗,,姗,姗,姗,姗
姐,,,,,,,
姑,,,,,,,
姒,,,,,,,
姓,,,,,,,
委,,,,,,,
姗,,,,,,,
姘,,,,,,,
姚,,,,,,,
姜,,,,,,,
姝,,,,,,,
姣,,,,,,,
姥,,,,,,,
姦,,奸,,奸,奸,奸,奸
姨,,,,,,𫰆,
姪,,,,,,,
姬,,,,,,,
姹,,,,,,,
姻,,,,,,,
姿,,,,,,,
威,,,,,,,
娃,,,,,,,
娄,,,,,,,
娅,,,,,,,
娆,,,,,,,
娇,,,,,,,
娈,,,,,,,
娉,,,,,,,
娌,,,,,,,
娑,,,,,,,
娓,,,,,,,
娘,,,,,,,
娛,,娱,,娱,娱,娱,娱
娜,,,,,,,
娟,,,,,,,
娠,,,,,,,
娣,,,,,,,
娥,,,,,,,
娩,,,,,,,
娱,,,,,,,
娲,,,,,,,
娴,,,,,,,
娶,,,,,,娶.er2,
娼,,,,,,,
婀,,,,,,,
婁,娄,娄,,娄,娄,娄,娄
婆,,,,,,,
婉,,,,,,,
婊,,,,,,,
婕,,,,,,,
婚,,,,,,,
婢,,,,,,,
婦,,妇,妇,妇,妇,妇,妇
婧,,,,,,,
婪,,,,,,,
婭,,娅,,娅,娅,娅,娅
婳,,,,,,,
婴,,,,,嬰.er1,嬰.er1,
婵,,,,,,,
婶,,,,,,,
婷,,,,,,,
婺,,,,,,,
婿,,,,,,,
媒,,,,,,,
媚,,,,,媚.er1,媚.er1,
媛,,,,,,,
媧,,娲,,娲,娲,娲,娲
媪,,,,,,,
媯,,妫,,妫,妫,妫,妫
媲,,,,,,,
媳,,,,,,,
媵,,,,,,,
媸,,,,,,,
媼,,媪,,媪,媪,媪,媪
媽,,妈,,妈,妈,妈,妈
媾,,,,,,,
嫁,,,,,,嫁.er2,
嫂,,,,,,嫂.er2,
嫉,,,,,,忌,
嫌,,,,,,𢙝,
嫒,,,,,,,
嫔,,,,,,,
嫖,,,,,,嫖.er2,
嫗,,妪,,妪,妪,妪,妪
嫘,,,,,,,
嫜,,,,,,,
嫠,,,,,,,
嫡,,,,,,嫡.er2,
嫣,,,,,,,
嫦,,,,,,,
嫩,,,,,,,
嫫,,,,,,,
嫱,,,,,,,
嫵,,妩,,妩,妩,妩,妩
嫻,,娴,,娴,娴,娴,娴
嫿,,婳,,婳,婳,婳,婳
嬈,,娆,,娆,娆,娆,娆
嬉,,,,,,嬉.er2,
嬋,,婵,,婵,婵,婵,婵
嬌,,娇,娇,娇,娇,娇,娇
嬖,,,,,,,
嬗,,,,,,,
嬙,,嫱,,嫱,嫱,嫱,嫱
嬝,,,,,,,
嬡,,嫒,,嫒,嫒,嫒,嫒
嬤,,嬷,,嬷,嬷,嬷,嬷
嬪,,嫔,,嫔,嫔,嫔,嫔
嬰,,婴,,婴,嬰.er1,嬰.er1,婴
嬲,,,,,,,
嬴,,,,,,,
嬷,,,,,,,
嬸,,婶,,婶,婶,婶,婶
孀,,,,,,,
孃,,,,,,,
孌,,娈,,娈,娈,娈,娈
子,,,,,,,
孑,,,,,,,
孓,,,,,,,
孔,,,,,,,
孕,,,,,,,
字,,,,,,,
存,,,,,,,
孙,,,,,,,
孚,,,,,,,
孛,,,,,,,
孜,,,,,,,
孝,,,,,,,
孟,,,,,,孟.er2,
孢,,,,,,,
季,,,,,,,
孤,,,,,,,
孥,,,,,,,
学,,,,,,,
孩,,,,,,孩.er2,
孪,,,,,,,
孫,孙,孙,孙,孙,孙,孙,孙
孬,,,,,,,
孰,,,,,,,
孱,,,,,,,
孳,,,,,,,
孵,,,,,孚,孚,
學,学,学,学,学,学,学,学
孺,,,,,,孺.er2,
孽,,,,,,孽.er2,
孿,,孪,,孪,孪,孪,孪
宁,,,,,,,
它,,,,,,,
宄,,,,,,,
宅,,,,,,,
宇,,,,,,,
守,,,,,,,
安,,,,,,,
宋,,,,,,,
完,,,,,,,
宏,,,,,,,
宓,,,,,,,
宕,,,,,,,
宗,,,,,,,
官,,,,,,,
宙,,,,,,,
定,,,,,,,
宛,,,,,,,
宜,,,,,,,
宝,,,,,,,
实,,,,,,,
宠,,,,,,,
审,,,,,,,
客,,,,,,,
宣,,,,,㝉,㝉,
室,,,,,,,
宥,,,,,,,
宦,,,,,,,
宪,,,,,,,
宫,,,,,,,
宮,,宫,,宫,宫,宫,宫
宰,,,,,,,
害,,,,,,,
宴,,,,,,,
宵,,,,,,,
家,,,,,,𡦼,
宸,,,,,,,
容,,,,,,,
宽,,,,,,,
宾,,,,,,,
宿,,,,,,,
寀,,采,,采,采,采,采
寂,,,,,,,
寄,,,,,,,
寅,,,,,,,
密,,,,,,宓,
寇,,,,,,,
富,,,,,𫲷,𫲷,
寐,,,,,,寐.er2,
寒,,,,,,,
寓,,,,,,,
寝,,,,,,,
寞,,,,,,,
察,,,,,忟.er1,忟.er1,
寡,,,,,,𠆣,
寢,,寝,,寝,寝,寝,寝
寤,,,,,,,
寥,,,,,㝋,㝋,
實,实.kmt,实,实,实,实,实,实
寧,,宁,,宁,宁,宁,宁
寨,,,,,寨.er1,寨.er1,
審,,审,审,审,审,审,审
寫,,写,写,写,写,写,写
寬,,宽,,宽,宽,宽,宽
寮,,,,,㝋,㝋,
寰,,,,,,环,
寵,,宠,宠,宠,宠,宠,宠
寶,宝,宝,宝,宝,宝,宝,宝
寸,,,,,,,
对,,,,,,,
寺,,,,,,,
寻,,,,,,,
导,,,,,,,
寿,,,,,,,
封,,,,,,,
射,,,,,,射.er2,
将,,,,,,,
將,,将,将,将,将,将,将
專,,专,专,专,专,专,专
尉,,,,,,,
尊,,,,,尊.er1,尊.er1,
尋,,寻,寻,寻,寻,寻,寻
對,对,对,对,对,对,对,对
導,,导,导,导,导,导,导
小,,,,,,,
少,,,,,,,
尔,,,,,,,
尕,,,,,,,
尖,,,,,,,
尘,,,,,,,
尚,,,,,,,
尝,,,,,,,
尢,,,,,,,
尤,,,,,,,
尥,,,,,,,
尧,,,,,,,
尬,,,,,,,
就,,,,,,,
尴,,,,,,,
尷,,尴,,尴,尴,尴,尴
尸,,,,,,,
尹,,,,,,,
尺,,,,,,,
尻,,,,,,,
尼,,,,,,,
尽,,,,,,,
尾,,,,,,,
尿,,,,,,,
局,,,,,,,
屁,,,,,,,
层,,,,,,,
屃,,,,,,,
居,,,,,,,
屆,,届,,届,届,届,届
屈,,,,,,,
屉,,,,,,,
届,,,,,,,
屋,,,,,,,
屍,,尸,,尸,尸,尸,尸
屎,,,,,,,
屏,,,,,,,
屐,,,,,,,
屑,,,,,,,
展,,,,,展.er1,展.er1,
屘,,,,,,,
屙,,,,,,,
屚,,,,,,,
屜,,屉,,屉,屉,屉,屉
屝,,,,,,,
属,,,,,属.er1,属.er1,
屠,,,,,,,
屡,,,,,,,
屢,屡,屡,屡,屡,屡,屡,屡
屣,,,,,,,
層,,层,层,层,层,层,层
履,,,,,,,
屦,,,,,,,
屨,,屦,,屦,屦,屦,屦
屬,属.kmt,属,属,属,属.er1,属.er1,属
屭,,屃,,屃,屃,屃,屃
屮,,,,,,,
屯,,,,,,,
山,,,,,,,
屹,,,,,,𡴭,
屺,,,,,,,
屿,,,,,,,
岁,,,,,,,
岂,,,,,,,
岈,,,,,,,
岌,,,,,,,
岍,,,,,,,
岐,,,,,,,
岑,,,,,,,
岔,,,,,,,
岖,,,,,,,
岗,,,,,,,
岘,,,,,,,
岙,,,,,,,
岚,,,,,,,
岛,,,,,,,
岡,,冈,,冈,冈,冈,冈
岢,,,,,,,
岣,,,,,,,
岩,,,,,,,
岫,,,,,,,
岬,,,,,,,
岭,,,,,,,
岱,,,,,,,
岳,,,,,,,
岵,,,,,,,
岷,,,,,,,
岸,,,,,,,
岿,,,,,,,
峃,,,,,,,
峄,,,,,,,
峋,,,,,,,
峒,,,,,,,
峙,,,,,,,
峡,,,,,,,
峣,,,,,,,
峤,,,,,,,
峥,,,,,,,
峦,,,,,,,
峨,,,,,,,
峪,,,,,,,
峭,,,,,,,
峰,,,,,,夆,
峴,,岘,,岘,岘,岘,岘
島,,岛,,岛,岛,岛,岛
峻,,,,,,,
峽,,峡,,峡,峡,峡,峡
崁,,,,,,,
崂,,,,,,,
崃,,,,,,,
崄,,,,,,,
崆,,,,,,,
崇,,,,,,,
崍,,崃,,崃,崃,崃,崃
崎,,,,,,,
崑,,昆,,昆,昆,昆,昆
崔,,,,,,崔.er2,
崖,,,,,,,
崗,,岗,岗,岗,岗,岗,岗
崙,,仑,,仑,仑,仑,仑
崛,,,,,,,
崞,,,,,,,
崢,,峥,,峥,峥,峥,峥
崤,,,,,,,
崦,,,,,,,
崧,,,,,,,
崩,,,,,,,
崭,,,,,,,
崮,,,,,,,
崴,,,,,,,
崽,,,,,,,
嵇,,,,,,𬓠,
嵊,,,,,,,
嵋,,,,,𠃜,𠃜,
嵌,,,,,,,
嵐,,岚,,岚,岚,岚,岚
嵒,,岩,,岩,岩,岩,岩
嵘,,,,,,,
嵚,,,,,,,
嵝,,,,,,,
嵩,,,,,,,
嵫,,,,,,,
嵬,,,,,,,
嵯,,,,,,,
嶁,,嵝,,嵝,嵝,嵝,嵝
嶂,,,,,,,
嶄,,崭,崭,崭,崭,崭,崭
嶇,,岖,岖,岖,岖,岖,岖
嶔,,嵚,,嵚,嵚,嵚,嵚
嶗,,崂,,崂,崂,崂,崂
嶙,,,,,,,
嶝,,,,,,,
嶠,,峤,,峤,峤,峤,峤
嶢,,峣,,峣,峣,峣,峣
嶧,,峄,,峄,峄,峄,峄
嶨,,峃,,峃,峃,峃,峃
嶮,,崄,,崄,崄,崄,崄
嶴,,岙,,岙,岙,岙,岙
嶷,,,,,,,
嶸,,嵘,,嵘,嵘,嵘,嵘
嶺,,岭,,岭,岭,岭,岭
嶼,,屿,,屿,屿,屿,屿
嶽,,岳,,岳,岳,岳,岳
巅,,,,,,颠.er1,
巉,,,,,,,
巋,,岿,,岿,岿,岿,岿
巌,,,,,,,
巍,,,,,,,
巒,,峦,,峦,峦,峦,峦
巔,,巅,,巅,巅,颠.er1,巅
巖,岩,巌,,巌,巌,巌,巌
川,,,,,,,
州,,,,,,,
巡,,,,,,,
巢,,,,,,,
工,,,,,,,
左,,,,,,,
巧,,,,,,,
巨,,,,,,,
巩,,,,,,,
巫,,,,,,,
差,,差.gbk,,,差.gbk,差.gbk,差.gbk
巯,,,,,,,
巰,,巯,,巯,巯,巯,巯
己,,,,,,,
已,,,,,,,
巳,,,,,,,
巴,,,,,,,
巷,,,,,,,
巽,,,,,,,
巾,,,,,,,
币,,,,,,,
市,,,,,,,
布,,,,,,,
帅,,,,,,,
帆,,,,,,,
师,,,,,,,
帋,,,,,,,
希,,,,,,,
帏,,,,,,,
帐,,,,,,,
帑,,,,,,,
帔,,,,,,,
帕,,,,,,,
帖,,,,,,,
帘,,,,,,,
帙,,,,,,,
帚,,,,,,,
帛,,,,,,,
帜,,,,,,,
帝,,,,,,,
帟,,,,,,,
帥,帅.kmt,帅,,帅,帅,帅,帅
带,,,,,,,
帧,,,,,,,
師,师.kmt,师,师,师,师,师,师
席,,,,,,,
帮,,,,,邦,邦,
帱,,,,,,,
帳,帐.kmt,帐,,帐,帐,帐,帐
帶,,带,,带,带,带,带
帷,,,,,,帷.er2,
常,,,,,,,
帻,,,,,,,
帼,,,,,,,
帽,,,,,𫷀,𫷀,
幀,,帧,,帧,帧,帧,帧
幂,,,,,,,
幃,,帏,,帏,帏,帏,帏
幄,,,,,,,
幅,,,,,,,
幌,,,,,,,
幔,,,,,,,
幕,,,,,𫯜,𫯜,
幗,帼.kmt,帼,,帼,帼,帼,帼
幘,,帻,,帻,帻,帻,帻
幛,,,,,,,
幟,,帜,,帜,帜,帜,帜
幡,,,,,,,
幢,,,,,,,
幣,,币,币,币,币,币,币
幫,帮,帮,帮,帮,邦,邦,帮
幬,,帱,,帱,帱,帱,帱
干,,,,,,,
平,,,,,,,
年,,,,,,,
并,,,,,,,
幸,,,,,,,
幹,,干,,干,干,干,干
幻,,,,,,,
幼,,,,,,,
幽,,,,,,幽.er2,
幾,,几,几,几,几,几,几
广,,,,,,,
庀,,,,,,,
庄,,,,,,,
庅,,,,,,,
庆,,,,,,,
庇,,,,,,,
床,,,,,,,
庋,,,,,,,
序,,,,,,,
庐,,,,,,,
庑,,,,,,,
库,,,,,,,
应,,,,,,,
底,,,,,,,
庖,,,,,,,
店,,,,,,,
庙,,,,,,,
庚,,,,,,,
府,,,,,,,
庞,,,,,,,
废,,,,,,,
庠,,,,,,,
庥,,,,,,,
度,,,,,,,
座,,,,,坐,坐,
庫,,库,,库,库,库,库
庭,,,,,,𨑳,
庳,,,,,,,
庵,广,,,,,,
庶,,,,,,庶.er2,
康,,,,,,,
庸,,,,,,庸.er2,
庹,,,,,,,
庼,,,,,,,
庾,,,,,,,
廁,,厕,,厕,厕,厕,厕
廂,,厢,,厢,厢,厢,厢
廄,,厩,,厩,厩,厩.er2,厩
廈,,厦,,厦,厦,厦.er2,厦
廉,,,,,,,
廊,,,,,,,
廎,,庼,,庼,庼,庼,庼
廑,,,,,,,
廒,,,,,,,
廓,,,,,,,
廖,,,,,𭙏,𭙏,
廚,,厨,,厨,厨,厨,厨
廛,,,,,,,
廝,,厮,,厮,厮,厮.er2,厮
廟,庙,庙,庙,庙,庙,庙,庙
廠,,厂,,厂,厂,厂,厂
廡,,庑,,庑,庑,庑,庑
廢,废,废,廃.sgp,廃.sgp,废,废,废
廣,,广,,广,广,广,广
廨,,廨.gbk,,,廨.gbk,廨.gbk,廨.gbk
廩,,廪,,廪,廪,廪,廪
廪,,,,,,,
廬,庐,庐,,庐,庐,庐,庐
廳,厛,厅,,厅,厅,厅,厅
延,,,,,,𨒂,
廷,,,,,,𨑳,
建,,,,,迠,迠,
廾,,,,,,,
廿,,,,,,,
开,,,,,,,
弁,,,,,,,
异,,,,,,,
弃,,,,,,,
弄,,,,,,,
弈,,,,,,,
弊,,,,,弊.er1,弊.er1,
弋,,,,,,,
弍,,,,,,,
式,,,,,,,
弑,,,,,,,
弒,,弑,,弑,弑,弑,弑
弓,,,,,,,
弔,,吊,,吊,吊,吊,吊
引,,,,,,,
弗,,,,,,,
弘,,,,,,,
弛,,,,,,,
弟,,,,,,弟.er2,
张,,,,,,,
弥,,,,,,,
弦,,,,,,,
弧,,,,,,,
弩,,,,,,,
弪,,,,,,,
弭,,,,,,弭.er2,
弯,,,,,,,
弱,,,,,,弱.er2,
弳,,弪,,弪,弪,弪,弪
張,张.kmt,张,,张,张,张,张
強,,强,,强,强,强,强
弹,,,,,弹.er1,弹.er1,
强,,,,,,,
弼,,,,,,,
彀,,,,,,,
彆,,别,,别,别,别,别
彈,,弹,弹,弹,弹.er1,弹.er1,弹
彊,,,,,,,
彌,弥,弥,弥,弥,弥,弥,弥
彎,弯,弯,弯,弯,弯,弯,弯
彐,,,,,,,
归,,,,,,,
当,,,,,,,
录,,,,,,,
彖,,,,,,,
彗,,,,,,,
彘,,,,,,,
彙,,汇,,汇,汇,汇,汇
彝,,,,,,,
形,,,,,,,
彤,,,,,,,
彥,,彦,,彦,彦,彦,彦
彦,,,,,,,
彩,,,,,采,采,
彪,,,,,,,
彫,,,,,,,
彬,,,,,,,
彭,,,,,,,
彰,,,,,,,
影,,,,,𢒈,𢒈,
彳,,,,,,,
彷,,,,,,,
役,,,,,,,
彻,,,,,,,
彼,,,,,,,
彿,,,,,,,
往,,,,,,,
征,,,,,,,
徂,,,,,,,
径,,,,,,,
待,,,,,,,
徇,,,,,,,
很,,,,,,,
徉,,,,,,,
徊,,,,,,,
律,,,,,,律.er2,
後,,后,后,后,后,后,后
徐,,,,,,,
徑,,径,径,径,径,径,径
徒,,,,,,,
徕,,,,,,,
得,,,,,,𬁟,
徘,,,,,,,
徙,,,,,,,
徜,,,,,,,
從,从,从,从,从,从,从,从
徠,,徕,,徕,徕,徕,徕
御,,,,,,,
徨,,,,,,皇,
復,,复,,复,复,复,复
循,,,,,,,
徬,,,,,,㝑,
徭,,,,,,,
微,,,,,,𡵉,
徵,,征,,征,征,征,征
德,,,,,,德.er2,
徹,,彻,,彻,彻,彻,彻
徼,,,,,,,
徽,,,,,,辉,
心,,,,,,,
必,,,,,,,
忆,,,,,,,
忉,,,,,,,
忌,,,,,,,
忍,,,,,,,
忏,,,,,,,
